"protein1","protein2","combined_score","protein1_alias","protein2_alias"
"9606.ENSP00000011653","9606.ENSP00000477713",999,"LCK","CD4"
"9606.ENSP00000011653","9606.ENSP00000386559",900,"CD8A","CD4"
"9606.ENSP00000215832","9606.ENSP00000256078",837,"KRAS","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000229795",804,"MAPK14","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000362680",891,"SRC","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000401303",870,"SHC1","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000269305",893,"TP53","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000401888",813,"RAF1","MAPK1"
"9606.ENSP00000215832","9606.ENSP00000264657",984,"STAT3","MAPK1"
"9606.ENSP00000216341","9606.ENSP00000401303",947,"SHC1","GZMB"
"9606.ENSP00000216341","9606.ENSP00000354952",933,"GAB2","GZMB"
"9606.ENSP00000221132","9606.ENSP00000241261",999,"TNFSF10","TNFRSF10A"
"9606.ENSP00000221132","9606.ENSP00000276431",994,"TNFRSF10B","TNFRSF10A"
"9606.ENSP00000222139","9606.ENSP00000481249",879,"SOCS2","EPOR"
"9606.ENSP00000222139","9606.ENSP00000330341",838,"SOCS3","EPOR"
"9606.ENSP00000222139","9606.ENSP00000428924",852,"LYN","EPOR"
"9606.ENSP00000222139","9606.ENSP00000252723",999,"EPO","EPOR"
"9606.ENSP00000222139","9606.ENSP00000341208",925,"STAT5A","EPOR"
"9606.ENSP00000222139","9606.ENSP00000401303",870,"SHC1","EPOR"
"9606.ENSP00000222139","9606.ENSP00000499900",932,"JAK1","EPOR"
"9606.ENSP00000222139","9606.ENSP00000371067",999,"JAK2","EPOR"
"9606.ENSP00000222139","9606.ENSP00000293328",861,"STAT5B","EPOR"
"9606.ENSP00000222139","9606.ENSP00000376345",953,"GRB2","EPOR"
"9606.ENSP00000225275","9606.ENSP00000234347",987,"PRTN3","MPO"
"9606.ENSP00000225275","9606.ENSP00000466090",984,"ELANE","MPO"
"9606.ENSP00000225474","9606.ENSP00000494504",900,"THPO","CSF3"
"9606.ENSP00000225474","9606.ENSP00000252723",929,"EPO","CSF3"
"9606.ENSP00000225474","9606.ENSP00000371067",944,"JAK2","CSF3"
"9606.ENSP00000225474","9606.ENSP00000296871",955,"CSF2","CSF3"
"9606.ENSP00000225474","9606.ENSP00000362195",999,"CSF3R","CSF3"
"9606.ENSP00000226730","9606.ENSP00000296870",949,"IL3","IL2"
"9606.ENSP00000226730","9606.ENSP00000296871",942,"CSF2","IL2"
"9606.ENSP00000226730","9606.ENSP00000499900",914,"JAK1","IL2"
"9606.ENSP00000226730","9606.ENSP00000385675",982,"IL6","IL2"
"9606.ENSP00000227507","9606.ENSP00000262367",963,"CREBBP","CCND1"
"9606.ENSP00000227507","9606.ENSP00000261254",935,"CCND2","CCND1"
"9606.ENSP00000227507","9606.ENSP00000413720",965,"CDKN1C","CCND1"
"9606.ENSP00000227507","9606.ENSP00000266970",998,"CDK2","CCND1"
"9606.ENSP00000227507","9606.ENSP00000437125",913,"HSPA8","CCND1"
"9606.ENSP00000227507","9606.ENSP00000384849",999,"CDKN1A","CCND1"
"9606.ENSP00000229795","9606.ENSP00000215832",804,"MAPK1","MAPK14"
"9606.ENSP00000233668","9606.ENSP00000274376",974,"RASA1","DOK1"
"9606.ENSP00000234347","9606.ENSP00000479536",982,"CD177","PRTN3"
"9606.ENSP00000234347","9606.ENSP00000466090",985,"ELANE","PRTN3"
"9606.ENSP00000234347","9606.ENSP00000225275",987,"MPO","PRTN3"
"9606.ENSP00000241261","9606.ENSP00000276431",999,"TNFRSF10B","TNFSF10"
"9606.ENSP00000241261","9606.ENSP00000221132",999,"TNFRSF10A","TNFSF10"
"9606.ENSP00000241453","9606.ENSP00000481249",810,"SOCS2","FLT3"
"9606.ENSP00000241453","9606.ENSP00000376345",912,"GRB2","FLT3"
"9606.ENSP00000246657","9606.ENSP00000477908",857,"CCL3","CCR7"
"9606.ENSP00000252723","9606.ENSP00000371067",916,"JAK2","EPO"
"9606.ENSP00000252723","9606.ENSP00000494504",900,"THPO","EPO"
"9606.ENSP00000252723","9606.ENSP00000225474",929,"CSF3","EPO"
"9606.ENSP00000252723","9606.ENSP00000222139",999,"EPOR","EPO"
"9606.ENSP00000254066","9606.ENSP00000268058",954,"PML","RARA"
"9606.ENSP00000256078","9606.ENSP00000407586",991,"HRAS","KRAS"
"9606.ENSP00000256078","9606.ENSP00000358548",936,"NRAS","KRAS"
"9606.ENSP00000256078","9606.ENSP00000365230",931,"BCL2L1","KRAS"
"9606.ENSP00000256078","9606.ENSP00000351015",840,"NF1","KRAS"
"9606.ENSP00000256078","9606.ENSP00000215832",837,"MAPK1","KRAS"
"9606.ENSP00000256078","9606.ENSP00000419060",833,"BRAF","KRAS"
"9606.ENSP00000256078","9606.ENSP00000401888",981,"RAF1","KRAS"
"9606.ENSP00000257264","9606.ENSP00000264033",871,"CBL","TCN1"
"9606.ENSP00000257290","9606.ENSP00000264657",911,"STAT3","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000275493",960,"EGFR","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000261799",969,"PDGFRB","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000489597",911,"PTPN11","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000264033",861,"CBL","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000354394",873,"STAT1","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000300574",916,"CRK","PDGFRA"
"9606.ENSP00000257290","9606.ENSP00000376345",807,"GRB2","PDGFRA"
"9606.ENSP00000261254","9606.ENSP00000413720",965,"CDKN1C","CCND2"
"9606.ENSP00000261254","9606.ENSP00000227507",935,"CCND1","CCND2"
"9606.ENSP00000261254","9606.ENSP00000266970",924,"CDK2","CCND2"
"9606.ENSP00000261254","9606.ENSP00000384849",840,"CDKN1A","CCND2"
"9606.ENSP00000261799","9606.ENSP00000362680",986,"SRC","PDGFRB"
"9606.ENSP00000261799","9606.ENSP00000376345",985,"GRB2","PDGFRB"
